          Time          |   Accel XYZ(m/s^2)  |     Accel XYZ(G)    |  Accel XYZ(raw ADC) |   Gyro XYZ (rad/s)  |   Gyro XYZ (deg/s)  |  Gyro XYZ (raw ADC) |  Mag Field XYZ(uT)  | Temp (C)
2023-11-08 00:57:14.620 |  3.06  -0.37  11.63 |  0.31  -0.04   1.19 |  1279   -153   4907 |  -0.6    0.1    1.0 | -32.4    4.7   54.9 |  -531     77    900 |   0.7  -20.1  -93.2 | 34.17    
2023-11-08 00:57:14.659 | -4.24   0.41  22.15 | -0.43   0.04   2.26 | -1774    172   9343 |  -3.4    0.5   -0.8 |-193.1   27.3  -47.7 | -3164    448   -782 |  -1.7  -17.7  -95.0 | 34.22    
2023-11-08 00:57:14.697 |  1.58   0.55  16.95 |  0.16   0.06   1.73 |   661    231   7150 |  -7.0    1.1   -2.1 |-402.7   65.9 -118.3 | -6598   1079  -1939 |   2.2   -7.9  -96.0 | 34.22    
2023-11-08 00:57:14.736 |  1.19   1.24  14.94 |  0.12   0.13   1.52 |   496    520   6302 |  -9.5    1.7   -0.3 |-543.3   96.6  -18.7 | -8902   1582   -307 |   3.2   18.6  -94.6 | 34.19    
2023-11-08 00:57:14.774 |  1.20   0.54  11.60 |  0.12   0.06   1.18 |   500    226   4893 |  -8.5    1.7   -0.7 |-488.2   95.2  -38.8 | -7998   1559   -636 |   2.4   38.9  -81.8 | 34.27    
2023-11-08 00:57:14.812 |  3.66  -2.56   8.99 |  0.37  -0.26   0.92 |  1531  -1072   3791 |  -7.8    1.2   -0.7 |-445.3   68.7  -42.0 | -7296   1126   -688 |   2.2   51.9  -72.7 | 34.27    
2023-11-08 00:57:14.850 |  1.91  -2.49   4.94 |  0.19  -0.25   0.50 |   797  -1042   2085 |  -7.8    1.7   -0.2 |-449.0   95.4  -12.5 | -7356   1563   -205 |   5.6   63.6  -52.3 | 34.32    
2023-11-08 00:57:14.888 |  1.27  -0.58  -1.74 |  0.13  -0.06  -0.18 |   529   -244   -736 |  -6.8    1.6    0.0 |-389.4   91.7    0.5 | -6380   1502      9 |   5.6   67.5  -32.3 | 34.35    
2023-11-08 00:57:14.926 |  0.68  -0.22  -5.77 |  0.07  -0.02  -0.59 |   284    -94  -2434 |  -5.8   -0.3   -1.0 |-333.3  -19.0  -58.3 | -5460   -311   -956 |   5.1   68.0  -12.3 | 34.29    
2023-11-08 00:57:14.965 | -3.66  -0.45  -4.42 | -0.37  -0.05  -0.45 | -1532   -187  -1864 |  -5.4    1.5   -0.5 |-308.2   85.3  -26.6 | -5050   1397   -436 |   3.4   62.4    0.5 | 34.32    
2023-11-08 00:57:14.003 | -0.71   4.13 -12.26 | -0.07   0.42  -1.25 |  -296   1732  -5170 |  -4.9    1.3   -1.2 |-281.9   74.5  -71.5 | -4618   1221  -1172 |  -1.2   60.7   10.5 | 34.33    
2023-11-08 00:57:15.041 |  2.38   2.97 -18.06 |  0.24   0.30  -1.84 |   994   1245  -7618 |  -2.0    0.9   -1.7 |-113.3   50.9  -98.3 | -1857    834  -1610 |  -5.9   50.6   19.1 | 34.32    
2023-11-08 00:57:15.080 |  0.92   1.52 -19.00 |  0.09   0.15  -1.94 |   384    635  -8016 |  -0.3    1.8   -0.7 | -16.3  101.5  -42.5 |  -267   1663   -696 | -12.4   48.9   20.8 | 34.30    
2023-11-08 00:57:15.118 |  4.73   2.23 -21.41 |  0.48   0.23  -2.18 |  1979    933  -9031 |   1.2    2.4   -0.2 |  69.3  137.2  -11.2 |  1135   2248   -183 | -15.9   50.4   20.3 | 34.36    
2023-11-08 00:57:15.157 | 11.72  -3.51 -19.59 |  1.19  -0.36  -2.00 |  4900  -1472  -8262 |   4.0    1.4    1.3 | 231.8   79.2   75.8 |  3798   1297   1242 | -20.5   53.6   12.1 | 34.37    
2023-11-08 00:57:15.196 | 11.55  -1.59 -18.91 |  1.18  -0.16  -1.93 |  4828   -666  -7977 |   6.6   -1.3    1.7 | 375.7  -72.3   98.3 |  6156  -1184   1610 | -18.0   62.4    1.5 | 34.37    
2023-11-08 00:57:15.234 | 10.87   0.80 -11.17 |  1.11   0.08  -1.14 |  4545    337  -4712 |  11.6   -3.2    2.8 | 666.3 -184.0  163.0 | 10916  -3014   2670 | -12.7   66.3  -16.7 | 34.41    
2023-11-08 00:57:15.272 |  7.17  11.93   2.56 |  0.73   1.22   0.26 |  2999   4996   1080 |  15.9   -2.3    7.1 | 909.5 -129.9  407.7 | 14901  -2128   6679 |   0.2   64.6  -51.3 | 34.39    
2023-11-08 00:57:15.310 |  0.79  14.07  15.57 |  0.08   1.43   1.59 |   330   5894   6569 |  12.5   -3.0    6.8 | 714.5 -171.3  389.3 | 11706  -2806   6378 |  10.0   31.3  -83.9 | 34.40    
2023-11-08 00:57:15.348 | -9.22  12.55  16.64 | -0.94   1.28   1.70 | -3854   5257   7019 |   6.3   -2.7    3.0 | 360.5 -156.8  174.4 |  5907  -2569   2857 |   7.3    4.6  -95.3 | 34.43    
2023-11-08 00:57:15.387 | -3.14   7.45  15.33 | -0.32   0.76   1.56 | -1313   3122   6469 |   5.7   -1.1   -0.1 | 327.0  -62.8   -6.3 |  5358  -1029   -104 |   0.7  -14.3  -96.9 | 34.48    
2023-11-08 00:57:15.428 |  2.59   2.52  11.75 |  0.26   0.26   1.20 |  1082   1057   4956 |   2.2   -2.0    0.0 | 127.9 -114.2    2.7 |  2095  -1871     44 |  -0.5  -30.7 -100.9 | 34.46    
2023-11-08 00:57:15.466 | -1.29   3.45  18.41 | -0.13   0.35   1.88 |  -541   1445   7765 |  -0.5   -1.4    0.8 | -31.4  -82.6   47.7 |  -515  -1353    781 |  -9.3  -33.1 -104.6 | 34.45    
2023-11-08 00:57:15.506 | -3.52   2.51  22.33 | -0.36   0.26   2.28 | -1473   1050   9418 |  -3.2    0.6   -0.6 |-183.7   35.2  -33.7 | -3009    577   -552 | -10.7  -26.7 -102.3 | 34.48    
2023-11-08 00:57:15.545 |  0.48  -0.14  21.19 |  0.05  -0.01   2.16 |   199    -59   8937 |  -7.7    0.9   -0.9 |-438.6   50.5  -51.4 | -7186    827   -842 |  -4.4  -12.5 -104.1 | 34.47    
2023-11-08 00:57:15.583 |  1.17   2.00  17.70 |  0.12   0.20   1.80 |   490    839   7466 | -10.0    1.9   -0.6 |-571.0  107.8  -36.7 | -9356   1767   -602 |  -3.2   13.7  -94.1 | 34.49    
2023-11-08 00:57:15.621 |  3.81   4.66  10.69 |  0.39   0.48   1.09 |  1594   1953   4508 |  -9.0    2.3   -0.8 |-518.4  133.1  -47.7 | -8494   2181   -782 |   0.5   38.9  -79.9 | 34.49    
2023-11-08 00:57:15.660 |  3.63   2.46   3.83 |  0.37   0.25   0.39 |  1518   1031   1617 | -10.2    2.4   -1.1 |-587.1  138.9  -63.8 | -9619   2276  -1045 |   5.4   59.5  -58.5 | 34.45    
2023-11-08 00:57:15.698 |  0.69   1.95  -1.69 |  0.07   0.20  -0.17 |   288    815   -713 |  -8.8    1.3   -0.9 |-502.1   77.0  -54.2 | -8226   1261   -888 |   5.4   68.8  -36.7 | 34.51    
2023-11-08 00:57:15.737 | -2.05   2.98  -5.22 | -0.21   0.30  -0.53 |  -857   1249  -2200 |  -7.9    2.0   -1.1 |-452.2  114.2  -65.8 | -7409   1871  -1078 |   3.7   69.5  -15.1 | 34.50    
2023-11-08 00:57:15.775 | -3.04   6.78 -11.62 | -0.31   0.69  -1.18 | -1272   2839  -4900 |  -5.2    2.9   -2.4 |-295.7  163.6 -136.8 | -4844   2681  -2241 |  -3.2   63.6    4.0 | 34.48    
2023-11-08 00:57:15.813 |  2.11   6.08 -17.21 |  0.22   0.62  -1.75 |   882   2546  -7260 |  -1.7    4.6   -2.8 | -94.7  265.6 -160.0 | -1551   4352  -2621 | -12.7   58.5   11.7 | 34.55    
2023-11-08 00:57:15.851 |  8.07   0.20 -18.05 |  0.82   0.02  -1.84 |  3373     85  -7616 |   2.7    5.0   -1.9 | 155.0  284.4 -107.2 |  2539   4659  -1756 | -26.8   55.5    7.5 | 34.51    
2023-11-08 00:57:15.889 | 13.26  -7.08 -12.04 |  1.35  -0.72  -1.23 |  5544  -2968  -5079 |   3.8    4.8    0.9 | 217.8  277.6   53.0 |  3569   4548    869 | -36.6   57.0   -3.2 | 34.50    
2023-11-08 00:57:15.928 | 12.17 -11.26  -8.40 |  1.24  -1.15  -0.86 |  5091  -4717  -3543 |   3.9    2.2    1.6 | 225.0  125.9   92.5 |  3687   2063   1515 | -36.8   62.6  -14.1 | 34.52    
2023-11-08 00:57:15.966 | 15.69 -11.36  -6.09 |  1.60  -1.16  -0.62 |  6562  -4760  -2570 |   2.5   -0.2    1.3 | 142.9  -10.5   74.8 |  2342   -172   1225 | -31.5   62.6  -25.8 | 34.52    
2023-11-08 00:57:16.004 | 22.22 -10.30  -3.75 |  2.27  -1.05  -0.38 |  9291  -4317  -1583 |   3.1   -1.7    2.7 | 177.1  -96.3  154.9 |  2902  -1577   2538 | -27.8   63.9  -31.6 | 34.52    
2023-11-08 00:57:16.043 | 19.78  -9.78  -1.74 |  2.02  -1.00  -0.18 |  8270  -4098   -734 |   4.4   -3.4    9.4 | 252.3 -192.5  540.9 |  4133  -3154   8862 | -11.7   66.8  -39.0 | 34.58    
2023-11-08 00:57:16.082 | 14.12   1.13  10.29 |  1.44   0.12   1.05 |  5904    475   4341 |   3.9   -4.5   12.7 | 225.4 -257.3  727.5 |  3693  -4216  11920 |  12.2   59.0  -52.0 | 34.55    
2023-11-08 00:57:16.120 |  4.68   6.38  11.49 |  0.48   0.65   1.17 |  1959   2673   4847 |   2.3   -2.4   11.9 | 131.9 -139.6  682.7 |  2161  -2288  11186 |  33.4   41.1  -64.4 | 34.57    
2023-11-08 00:57:16.159 | -4.01   6.60   8.10 | -0.41   0.67   0.83 | -1678   2763   3417 |  -1.8   -2.6    7.0 |-103.1 -148.7  399.5 | -1689  -2436   6545 |  39.0   27.1  -68.3 | 34.60    
2023-11-08 00:57:16.197 | -9.11  11.70   3.27 | -0.93   1.19   0.33 | -3809   4900   1381 |   0.5   -2.1    4.6 |  29.7 -117.7  262.2 |   487  -1928   4296 |  40.2   18.6  -71.8 | 34.57    
2023-11-08 00:57:16.236 |-14.64  10.77   9.02 | -1.49   1.10   0.92 | -6122   4511   3806 |   2.9   -2.4    3.4 | 165.6 -135.1  197.3 |  2714  -2214   3232 |  39.0    2.2  -76.2 | 34.53    
2023-11-08 00:57:16.274 |-19.40  13.42  12.26 | -1.98   1.37   1.25 | -8112   5623   5170 |  -0.8   -0.2   -0.2 | -48.2  -10.9   -9.3 |  -790   -178   -153 |  35.4   -1.5  -76.4 | 34.56    
2023-11-08 00:57:16.313 |-16.34  13.99   9.56 | -1.67   1.43   0.97 | -6834   5862   4031 |  -1.1    2.0   -3.8 | -63.7  115.3 -216.2 | -1043   1889  -3543 |  37.8    2.4  -76.4 | 34.61    
2023-11-08 00:57:16.351 |-10.16   8.48   7.59 | -1.04   0.86   0.77 | -4248   3552   3201 |  -1.2    2.2   -6.8 | -66.5  123.2 -391.7 | -1089   2019  -6417 |  37.8   17.1  -74.1 | 34.60    
2023-11-08 00:57:16.389 | -8.32   4.97   8.84 | -0.85   0.51   0.90 | -3480   2084   3728 |  -1.3    3.4   -8.8 | -73.4  197.0 -503.2 | -1203   3227  -8245 |  39.0   27.6  -72.0 | 34.61    
2023-11-08 00:57:16.428 | -0.50   3.25   7.61 | -0.05   0.33   0.78 |  -211   1361   3211 |  -2.2    5.1  -11.2 |-125.7  290.3 -641.8 | -2059   4756 -10516 |  27.8   49.2  -60.9 | 34.63    
2023-11-08 00:57:16.467 | 16.23   5.54   0.45 |  1.66   0.56   0.05 |  6788   2321    190 |  -3.2    2.8  -13.0 |-182.5  159.1 -746.9 | -2990   2606 -12238 |   9.0   65.1  -50.4 | 34.60    
2023-11-08 00:57:16.506 | 25.92  -6.69  -2.75 |  2.64  -0.68  -0.28 | 10839  -2804  -1158 |  -2.5    0.2   -9.7 |-142.5   11.8 -554.4 | -2335    194  -9084 | -23.9   64.8  -39.0 | 34.63    
2023-11-08 00:57:16.545 | 29.37  -2.43  -9.98 |  3.00  -0.25  -1.02 | 12283  -1019  -4210 |  -1.1    1.4   -2.3 | -61.3   78.1 -132.8 | -1005   1279  -2176 | -40.2   57.7  -35.5 | 34.61    
2023-11-08 00:57:16.583 | 28.16  -2.81  -9.47 |  2.87  -0.29  -0.97 | 11775  -1176  -3996 |   2.1    1.7    4.6 | 117.6   99.1  263.4 |  1926   1624   4315 | -37.3   58.7  -39.2 | 34.61    
2023-11-08 00:57:16.621 | 23.08  -5.84   0.18 |  2.35  -0.60   0.02 |  9653  -2447     76 |   2.9   -4.0   12.6 | 167.4 -228.4  719.4 |  2742  -3742  11787 | -20.2   63.1  -43.4 | 34.61    
2023-11-08 00:57:16.659 | 11.69  -0.07   4.52 |  1.19  -0.01   0.46 |  4888    -28   1907 |   2.2   -6.6   13.7 | 125.9 -377.6  785.2 |  2063  -6187  12865 |  10.5   62.2  -50.9 | 34.63    
2023-11-08 00:57:16.696 | -1.32   2.44   9.46 | -0.13   0.25   0.96 |  -552   1023   3989 |   2.0   -6.6   11.7 | 112.3 -375.9  671.5 |  1840  -6158  11002 |  26.8   47.7  -62.7 | 34.62    
2023-11-08 00:57:16.734 |-11.31   5.41  12.42 | -1.15   0.55   1.27 | -4729   2267   5241 |   0.7   -5.6    6.4 |  38.0 -322.7  368.6 |   623  -5287   6039 |  27.1   27.4  -74.6 | 34.62    
2023-11-08 00:57:16.773 |-12.49   5.71  13.46 | -1.27   0.58   1.37 | -5223   2392   5678 |   0.4   -3.0    3.2 |  22.9 -173.3  180.7 |   375  -2839   2961 |  25.1   20.5  -78.8 | 34.65    
2023-11-08 00:57:16.811 |-14.91   7.64  14.86 | -1.52   0.78   1.51 | -6235   3199   6267 |  -0.2   -1.2    1.0 | -10.4  -68.9   54.9 |  -170  -1129    900 |  24.6   13.7  -80.2 | 34.66    
2023-11-08 00:57:16.848 |-17.36  11.67  14.79 | -1.77   1.19   1.51 | -7258   4891   6239 |  -0.7    0.7   -1.1 | -38.6   41.7  -62.7 |  -632    683  -1028 |  22.4   14.9  -80.9 | 34.66    
2023-11-08 00:57:16.887 |-16.44   8.99  13.80 | -1.68   0.92   1.41 | -6874   3765   5820 |  -0.4    3.3   -4.1 | -25.7  187.7 -232.4 |  -421   3076  -3808 |  25.1   20.5  -79.7 | 34.66    
2023-11-08 00:57:16.925 | -7.96   6.47  10.55 | -0.81   0.66   1.08 | -3328   2710   4450 |  -2.3    5.0   -7.5 |-134.5  286.6 -427.7 | -2204   4696  -7007 |  25.4   36.4  -69.7 | 34.64    
2023-11-08 00:57:16.963 | -0.72   4.06   6.63 | -0.07   0.41   0.68 |  -301   1699   2798 |  -3.2    6.2   -9.4 |-183.7  357.5 -535.8 | -3010   5858  -8778 |  24.1   49.4  -63.0 | 34.62    
2023-11-08 00:57:16.001 | 11.92   2.80   3.89 |  1.22   0.29   0.40 |  4983   1174   1639 |  -2.5    6.0  -10.4 |-141.0  343.4 -597.1 | -2310   5627  -9783 |  12.9   62.6  -50.9 | 34.66    
2023-11-08 00:57:17.039 | 22.54  -3.64  -2.93 |  2.30  -0.37  -0.30 |  9425  -1523  -1235 |  -2.4    3.9   -9.3 |-140.2  222.5 -532.7 | -2297   3646  -8727 |  -9.8   70.2  -44.6 | 34.68    
2023-11-08 00:57:17.077 | 27.77  -7.68 -13.32 |  2.83  -0.78  -1.36 | 11613  -3216  -5621 |  -1.1    2.1   -3.5 | -62.4  117.6 -198.9 | -1023   1926  -3259 | -26.6   62.6  -36.4 | 34.73    
2023-11-08 00:57:17.115 | 24.25  -3.90  -9.61 |  2.47  -0.40  -0.98 | 10142  -1633  -4052 |   2.8   -0.2    1.8 | 160.3   -9.2  105.5 |  2626   -151   1729 | -27.8   64.8  -38.5 | 34.71    
2023-11-08 00:57:17.153 | 21.30  -5.92  -5.13 |  2.17  -0.60  -0.52 |  8906  -2481  -2165 |   4.9   -2.6    6.8 | 279.9 -149.7  388.5 |  4586  -2452   6366 | -21.5   62.9  -49.2 | 34.65    
2023-11-08 00:57:17.191 | 14.36   0.42  -0.70 |  1.46   0.04  -0.07 |  6003    176   -296 |   7.3   -7.1   10.0 | 418.5 -407.5  573.1 |  6856  -6676   9390 |  -7.1   56.8  -62.5 | 34.71    
2023-11-08 00:57:17.229 | -0.78   5.79  13.75 | -0.08   0.59   1.40 |  -325   2427   5799 |   7.4   -5.9    9.5 | 421.9 -340.5  545.1 |  6913  -5579   8931 |  -2.7   41.6  -78.8 | 34.66    
2023-11-08 00:57:17.268 |-15.15  10.81  15.74 | -1.55   1.10   1.61 | -6337   4528   6641 |   4.4   -2.7    4.7 | 252.1 -157.5  269.7 |  4131  -2581   4418 |  -2.7   23.9  -88.5 | 34.68    
2023-11-08 00:57:17.306 |-14.09   4.11  19.99 | -1.44   0.42   2.04 | -5893   1723   8433 |   3.7   -1.6   -1.9 | 212.9  -90.0 -110.6 |  3488  -1474  -1812 | -10.7   12.4  -89.2 | 34.71    
2023-11-08 00:57:17.344 |-18.39   1.71  33.89 | -1.87   0.17   3.46 | -7688    716  14298 |  -0.5    2.5   -2.7 | -26.0  144.4 -153.6 |  -426   2366  -2517 | -10.0    7.8  -91.3 | 34.73    
2023-11-08 00:57:17.383 | -2.41   8.65  22.71 | -0.25   0.88   2.32 | -1007   3623   9581 |  -5.0    5.1   -4.8 |-287.0  293.0 -277.5 | -4703   4801  -4547 |  -1.2   14.6  -93.2 | 34.73    
2023-11-08 00:57:17.421 |  0.49   0.12  14.87 |  0.05   0.01   1.52 |   205     50   6274 |  -6.2    5.8   -4.2 |-357.4  330.4 -243.5 | -5855   5413  -3989 |  12.7   33.0  -83.7 | 34.71    
2023-11-08 00:57:17.459 |  3.32   3.98   4.89 |  0.34   0.41   0.50 |  1390   1667   2063 |  -8.5    3.1   -5.9 |-489.1  174.8 -339.3 | -8014   2864  -5559 |  15.1   53.1  -67.4 | 34.72    
2023-11-08 00:57:17.497 |  6.58   2.84  -1.71 |  0.67   0.29  -0.17 |  2751   1190   -722 |  -7.8    1.5   -6.5 |-447.1   85.8 -373.1 | -7326   1406  -6113 |   4.6   67.5  -47.1 | 34.71    
2023-11-08 00:57:17.536 |  9.55   3.49 -12.65 |  0.97   0.36  -1.29 |  3992   1464  -5338 |  -6.9    0.4   -4.8 |-393.3   24.6 -272.6 | -6444    403  -4467 |  -7.1   69.5  -27.1 | 34.74    
2023-11-08 00:57:17.574 | 10.56  -0.46 -19.27 |  1.08  -0.05  -1.97 |  4417   -191  -8131 |  -2.2    0.3   -2.1 |-127.8   17.8 -122.6 | -2094    292  -2008 | -15.9   65.1  -11.8 | 34.76    
2023-11-08 00:57:17.613 | 11.17  -0.22 -21.12 |  1.14  -0.02  -2.15 |  4669    -94  -8911 |   2.2    0.6    1.0 | 127.1   32.6   55.4 |  2082    534    908 | -21.5   65.3   -9.7 | 34.74    
2023-11-08 00:57:17.651 |  9.97  -0.90 -14.71 |  1.02  -0.09  -1.50 |  4171   -379  -6206 |   5.6   -2.3    1.1 | 323.0 -130.9   61.6 |  5292  -2145   1010 | -18.0   67.3  -19.5 | 34.75    
2023-11-08 00:57:17.689 |  9.96  -1.27  -6.27 |  1.02  -0.13  -0.64 |  4163   -532  -2646 |   7.3   -3.6    1.7 | 418.0 -204.5   97.4 |  6849  -3351   1595 | -15.4   65.1  -40.6 | 34.71    
2023-11-08 00:57:17.728 |  7.83   4.76   6.23 |  0.80   0.49   0.64 |  3275   1995   2630 |  13.0   -3.1    1.9 | 742.7 -175.5  110.7 | 12168  -2875   1814 | -15.6   54.1  -65.0 | 34.81    
2023-11-08 00:57:17.766 |  0.79   9.45  20.26 |  0.08   0.96   2.07 |   331   3960   8547 |  16.1    1.8    6.9 | 923.7  105.2  393.9 | 15134   1723   6453 |  -8.8   32.5  -87.4 | 34.76    
2023-11-08 00:57:17.805 | -8.38   2.37  26.09 | -0.85   0.24   2.66 | -3506    993  11004 |   5.7   -2.4    3.1 | 328.1 -138.3  178.1 |  5375  -2266   2918 |  -6.1   -2.0 -105.3 | 34.77    
