          Time          |   Accel XYZ(m/s^2)  |     Accel XYZ(G)    |  Accel XYZ(raw ADC) |   Gyro XYZ (rad/s)  |   Gyro XYZ (deg/s)  |  Gyro XYZ (raw ADC) |  Mag Field XYZ(uT)  | Temp (C)
2023-11-08 00:57:17.842 | -6.16   6.03  23.24 | -0.63   0.62   2.37 | -2574   2528   9802 |   1.1   -1.5   -0.1 |  61.6  -83.5   -6.6 |  1009  -1368   -108 | -20.5  -10.6 -110.2 | 34.76    
2023-11-08 00:57:17.880 | -3.18   1.29  25.96 | -0.32   0.13   2.65 | -1328    541  10950 |  -1.1    0.9   -1.5 | -65.4   52.7  -86.4 | -1071    864  -1416 | -19.0  -14.0 -110.6 | 34.78    
2023-11-08 00:57:17.918 | -0.00  -2.88  26.51 | -0.00  -0.29   2.70 |    -2  -1206  11183 |  -7.0    2.2   -2.0 |-401.9  123.5 -114.2 | -6585   2023  -1871 |  -8.5    0.9  -98.8 | 34.76    
2023-11-08 00:57:17.957 |  5.85   1.68  18.91 |  0.60   0.17   1.93 |  2445    702   7978 | -11.4    2.1   -0.8 |-652.3  119.1  -44.7 |-10688   1952   -732 |  -4.4   19.8  -91.1 | 34.74    
2023-11-08 00:57:17.995 |  5.93   7.01   7.65 |  0.60   0.72   0.78 |  2480   2938   3227 | -11.5    3.5    1.0 |-658.8  199.8   57.8 |-10793   3273    947 |   2.7   49.4  -71.8 | 34.82    
2023-11-08 00:57:18.033 |  5.36   4.44   0.40 |  0.55   0.45   0.04 |  2240   1859    169 |  -9.5    3.7    0.8 |-545.5  209.5   46.6 | -8937   3433    763 |  12.0   65.6  -47.6 | 34.76    
2023-11-08 00:57:18.071 |  0.36   6.84  -4.43 |  0.04   0.70  -0.45 |   150   2864  -1868 |  -9.5    2.3   -0.4 |-542.8  131.8  -24.4 | -8894   2160   -399 |  12.7   66.3  -17.1 | 34.78    
2023-11-08 00:57:18.110 |  1.27   6.04 -11.72 |  0.13   0.62  -1.19 |   530   2530  -4942 |  -7.4    1.0   -1.2 |-421.3   55.2  -66.4 | -6903    904  -1088 |   9.3   59.5    7.5 | 34.78    
2023-11-08 00:57:18.148 | -0.44   4.42 -15.09 | -0.04   0.45  -1.54 |  -182   1852  -6367 |  -3.5    2.0    0.0 |-200.1  112.2    0.8 | -3278   1838     13 |   8.0   52.8   18.4 | 34.84    
2023-11-08 00:57:18.187 | -1.07   3.87 -14.02 | -0.11   0.39  -1.43 |  -448   1622  -5913 |  -1.7    2.4   -0.7 | -99.9  136.2  -41.3 | -1636   2232   -676 |   3.9   50.2   23.3 | 34.84    
2023-11-08 00:57:18.225 |  1.86   3.80 -19.62 |  0.19   0.39  -2.00 |   777   1594  -8276 |  -0.4    2.9   -0.9 | -22.3  163.8  -53.3 |  -366   2683   -874 |  -4.6   45.5   25.9 | 34.79    
2023-11-08 00:57:18.263 |  5.46   1.92 -23.34 |  0.56   0.20  -2.38 |  2282    804  -9844 |   3.0    1.5   -0.6 | 170.2   86.5  -31.8 |  2788   1418   -521 | -12.2   48.2   23.3 | 34.81    
2023-11-08 00:57:18.301 |  9.48  -0.16 -19.39 |  0.97  -0.02  -1.98 |  3966    -67  -8179 |   5.6   -0.2    0.1 | 319.8  -13.5    3.5 |  5239   -221     58 | -15.1   57.5   14.0 | 34.79    
2023-11-08 00:57:18.340 |  9.75   1.28 -14.27 |  0.99   0.13  -1.45 |  4076    535  -6019 |   8.0   -2.4    0.4 | 458.4 -139.9   22.5 |  7511  -2292    369 | -13.4   64.1    0.8 | 34.81    
2023-11-08 00:57:18.378 | 12.69   0.91  -7.82 |  1.29   0.09  -0.80 |  5305    381  -3299 |  10.1   -4.4    1.4 | 581.5 -251.3   82.9 |  9527  -4118   1358 |  -9.3   66.8  -19.5 | 34.78    
2023-11-08 00:57:18.417 |  9.03  10.68   5.96 |  0.92   1.09   0.61 |  3776   4474   2514 |  14.7   -2.5    4.2 | 843.4 -142.2  238.7 | 13818  -2329   3911 |  -5.4   60.4  -57.1 | 34.84    
2023-11-08 00:57:18.455 | -2.38  12.65  13.59 | -0.24   1.29   1.39 |  -997   5300   5732 |  12.6   -1.3    6.8 | 721.7  -77.2  389.0 | 11825  -1265   6374 |   0.7   31.3  -86.7 | 34.80    
2023-11-08 00:57:18.492 |  0.59  10.19  15.24 |  0.06   1.04   1.55 |   246   4271   6431 |   8.5   -4.4    3.2 | 487.9 -250.7  181.9 |  7994  -4107   2980 |   0.2    2.9  -99.2 | 34.82    
2023-11-08 00:57:18.530 |  2.99   7.77  20.45 |  0.31   0.79   2.09 |  1252   3254   8628 |   4.9   -4.3    1.3 | 282.3 -245.8   75.0 |  4626  -4028   1229 | -16.8  -11.8 -102.5 | 34.81    
2023-11-08 00:57:18.569 | -4.76   8.81  28.39 | -0.49   0.90   2.90 | -1989   3689  11978 |   3.5   -0.6    1.9 | 199.2  -36.9  109.6 |  3264   -605   1795 | -35.4  -26.0 -106.7 | 34.83    
2023-11-08 00:57:18.607 | -3.98   7.65  25.53 | -0.41   0.78   2.60 | -1666   3207  10770 |  -2.9    1.8   -1.0 |-165.3  104.2  -59.9 | -2709   1707   -981 | -32.0  -26.0 -104.8 | 34.82    
2023-11-08 00:57:18.645 |  1.07  12.23  22.20 |  0.11   1.25   2.26 |   446   5125   9366 |  -6.7    3.1   -2.1 |-384.6  176.3 -121.1 | -6301   2889  -1984 | -18.0  -15.5 -101.8 | 34.84    
2023-11-08 00:57:18.683 |  4.68   3.61  21.49 |  0.48   0.37   2.19 |  1956   1513   9064 |  -9.1    3.8   -2.1 |-519.3  217.5 -122.1 | -8509   3563  -2001 |  -4.6   10.7  -95.0 | 34.81    
2023-11-08 00:57:18.721 |  7.56   6.12  13.36 |  0.77   0.62   1.36 |  3163   2565   5635 | -11.3    4.5   -0.9 |-647.6  260.4  -54.2 |-10610   4266   -888 |   4.1   29.3  -87.1 | 34.81    
2023-11-08 00:57:18.760 |  4.24   7.68   4.84 |  0.43   0.78   0.49 |  1774   3217   2040 | -11.1    4.0   -1.3 |-634.3  228.9  -74.6 |-10393   3751  -1222 |  10.7   56.5  -61.3 | 34.81    
2023-11-08 00:57:18.798 |  3.64   7.18  -1.91 |  0.37   0.73  -0.19 |  1524   3006   -805 | -10.2    3.4   -1.2 |-582.1  193.7  -71.4 | -9537   3173  -1169 |  17.3   66.6  -30.4 | 34.81    
2023-11-08 00:57:18.836 |  1.65   8.37  -9.08 |  0.17   0.85  -0.93 |   692   3508  -3832 |  -8.9    3.2   -1.6 |-507.7  186.1  -90.8 | -8318   3049  -1488 |  10.7   62.9   -1.8 | 34.85    
2023-11-08 00:57:18.875 |  2.74   9.07 -16.53 |  0.28   0.92  -1.69 |  1147   3800  -6975 |  -5.1    3.4   -1.7 |-291.6  196.0  -96.4 | -4777   3212  -1580 |   2.9   54.1   16.3 | 34.85    
2023-11-08 00:57:18.913 |  3.67   4.21 -18.86 |  0.37   0.43  -1.92 |  1534   1762  -7955 |  -0.4    4.6   -0.3 | -23.1  264.8  -17.1 |  -378   4339   -280 |  -9.8   50.2   22.8 | 34.79    
2023-11-08 00:57:18.952 |  5.10   3.25 -16.22 |  0.52   0.33  -1.65 |  2132   1363  -6841 |   1.1    3.7   -1.1 |  60.5  210.8  -64.3 |   991   3454  -1053 | -15.9   52.4   19.8 | 34.82    
2023-11-08 00:57:18.990 | 10.74  -0.04 -19.06 |  1.09  -0.00  -1.94 |  4489    -15  -8041 |   1.2    1.1   -2.0 |  69.6   63.5 -116.9 |  1140   1040  -1916 | -23.2   50.9   15.6 | 34.79    
2023-11-08 00:57:19.028 | 13.77  -0.41 -18.72 |  1.40  -0.04  -1.91 |  5756   -173  -7895 |   3.0    0.2   -0.1 | 171.1   11.7   -7.8 |  2804    191   -127 | -30.5   54.3   12.8 | 34.80    
2023-11-08 00:57:19.067 | 12.73   1.76 -15.99 |  1.30   0.18  -1.63 |  5324    739  -6744 |   6.2   -0.9    1.4 | 355.1  -50.0   82.7 |  5818   -820   1355 | -27.6   59.7    1.2 | 34.77    
2023-11-08 00:57:19.105 | 13.39   1.08  -6.72 |  1.37   0.11  -0.69 |  5598    454  -2834 |   9.1   -3.5    2.8 | 519.5 -202.3  159.2 |  8511  -3314   2609 | -20.0   65.8  -17.1 | 34.84    
2023-11-08 00:57:19.143 | 13.55   3.11   2.59 |  1.38   0.32   0.26 |  5665   1303   1092 |   9.5   -6.6    2.8 | 544.6 -377.9  161.9 |  8923  -6192   2652 | -14.1   66.3  -36.7 | 34.85    
2023-11-08 00:57:19.181 |  5.57  -1.57  16.93 |  0.57  -0.16   1.73 |  2330   -658   7142 |  11.1   -1.7    5.5 | 637.1  -98.3  316.3 | 10438  -1611   5183 | -14.4   55.8  -64.4 | 34.77    
2023-11-08 00:57:19.219 | -4.93   0.74  20.74 | -0.50   0.08   2.11 | -2061    312   8749 |   8.3    1.6    8.3 | 476.2   94.4  473.8 |  7802   1547   7763 |   2.4   35.5  -84.6 | 34.79    
2023-11-08 00:57:19.257 |-20.17   2.49  26.41 | -2.06   0.25   2.69 | -8434   1044  11141 |  -0.2    0.1    3.4 | -13.5    5.4  192.0 |  -221     88   3146 |   9.5   21.5  -88.5 | 34.82    
2023-11-08 00:57:19.295 |-10.58   2.30  19.02 | -1.08   0.23   1.94 | -4426    963   8022 |  -3.4    2.2   -1.0 |-197.2  125.2  -55.7 | -3231   2051   -913 |  15.1   29.6  -85.0 | 34.80    
2023-11-08 00:57:19.333 | -2.37  -4.82  13.27 | -0.24  -0.49   1.35 |  -990  -2018   5598 |  -3.9    4.9   -2.8 |-223.6  278.0 -162.7 | -3664   4554  -2665 |  19.0   37.4  -80.4 | 34.83    
2023-11-08 00:57:19.376 | 12.72  -9.24  -0.90 |  1.30  -0.94  -0.09 |  5320  -3869   -380 |  -5.5    4.8   -2.9 |-315.5  277.5 -168.6 | -5169   4547  -2763 |  26.1   50.4  -64.4 | 34.78    
2023-11-08 00:57:19.413 | 11.14 -10.28 -12.79 |  1.14  -1.05  -1.30 |  4658  -4308  -5396 |  -3.2    0.8    1.3 |-186.0   44.9   75.5 | -3047    736   1237 |  26.3   57.0  -48.3 | 34.82    
2023-11-08 00:57:19.451 | 10.96  -5.17  -7.60 |  1.12  -0.53  -0.77 |  4585  -2164  -3204 |  -0.5   -3.4    6.8 | -30.3 -192.2  388.7 |  -497  -3149   6368 |  34.1   53.1  -44.1 | 34.83    
2023-11-08 00:57:19.489 |  6.46   6.96  -0.04 |  0.66   0.71  -0.00 |  2703   2914    -18 |   1.0   -7.0    8.5 |  55.7 -403.8  487.5 |   913  -6616   7987 |  44.9   35.0  -53.0 | 34.84    
2023-11-08 00:57:19.526 |-11.81  11.05   7.53 | -1.20   1.13   0.77 | -4940   4631   3175 |   2.3   -6.4    7.0 | 133.4 -367.6  399.3 |  2185  -6023   6542 |  47.6   24.4  -68.5 | 34.82    
2023-11-08 00:57:19.564 |-24.86   9.72  15.08 | -2.54   0.99   1.54 |-10396   4072   6363 |   2.3   -4.5    1.2 | 129.4 -255.6   66.0 |  2120  -4188   1081 |  35.9    5.8  -80.2 | 34.85    
2023-11-08 00:57:19.603 |-13.66   1.15  16.84 | -1.39   0.12   1.72 | -5713    481   7102 |  -0.3   -0.9   -1.0 | -15.1  -49.3  -57.8 |  -247   -807   -947 |  29.5    4.4  -84.8 | 34.86    
2023-11-08 00:57:19.641 |-17.93   5.49  14.07 | -1.83   0.56   1.43 | -7498   2301   5935 |  -2.3    1.1   -1.3 |-131.0   64.3  -75.2 | -2147   1053  -1232 |  31.2    9.0  -82.3 | 34.85    
2023-11-08 00:57:19.679 |-20.39  10.40  12.12 | -2.08   1.06   1.24 | -8527   4357   5112 |  -2.7    2.6   -4.2 |-155.6  146.7 -241.5 | -2550   2403  -3956 |  31.7   17.8  -79.9 | 34.89    
2023-11-08 00:57:19.718 | -9.82  12.40  11.33 | -1.00   1.26   1.16 | -4107   5193   4779 |  -3.4    4.6   -8.0 |-193.4  261.3 -461.0 | -3169   4281  -7553 |  31.7   35.5  -68.8 | 34.83    
2023-11-08 00:57:19.756 |  5.07  10.63   3.28 |  0.52   1.08   0.33 |  2119   4452   1383 |  -3.5    4.8  -10.3 |-202.0  276.1 -587.6 | -3309   4524  -9627 |  27.6   52.8  -63.0 | 34.84    
2023-11-08 00:57:19.794 | 18.44   5.94  -2.48 |  1.88   0.61  -0.25 |  7710   2490  -1047 |  -2.5    6.0  -10.5 |-140.7  341.0 -601.5 | -2306   5587  -9855 |   7.3   65.3  -49.7 | 34.86    
2023-11-08 00:57:19.833 | 23.76  -8.01  -4.57 |  2.42  -0.82  -0.47 |  9935  -3357  -1926 |   0.1    4.5   -6.7 |   8.2  259.4 -382.4 |   135   4250  -6266 | -11.5   68.0  -44.8 | 34.79    
2023-11-08 00:57:19.871 | 28.71 -11.26  -5.13 |  2.93  -1.15  -0.52 | 12006  -4718  -2162 |   1.0    3.4   -0.1 |  54.7  197.6   -8.1 |   896   3237   -133 | -18.0   63.9  -49.2 | 34.84    
2023-11-08 00:57:19.908 | 31.57 -22.47  -5.61 |  3.22  -2.29  -0.57 | 13200  -9414  -2366 |   2.4   -1.8    4.2 | 135.1 -100.6  241.1 |  2214  -1648   3950 | -12.2   63.4  -52.0 | 34.82    
2023-11-08 00:57:19.947 | 23.06  -9.77   1.37 |  2.35  -1.00   0.14 |  9641  -4095    577 |   1.9   -6.6   10.4 | 108.3 -376.2  595.3 |  1775  -6164   9753 |  -2.7   61.2  -57.4 | 34.84    
2023-11-08 00:57:19.985 | 20.43   7.96  11.15 |  2.08   0.81   1.14 |  8542   3333   4705 |   3.6  -10.2   11.7 | 206.4 -585.8  669.5 |  3382  -9598  10969 |  10.2   51.6  -69.7 | 34.77    
2023-11-08 00:57:20.024 | -9.02  12.16  19.25 | -0.92   1.24   1.96 | -3771   5096   8121 |   3.3   -3.4   10.9 | 189.1 -192.9  627.1 |  3099  -3160  10274 |  17.6   32.5  -76.7 | 34.81    
2023-11-08 00:57:20.063 |-20.24  12.87  14.51 | -2.06   1.31   1.48 | -8465   5391   6119 |   0.2   -2.2    3.3 |   9.5 -123.6  191.3 |   155  -2025   3134 |  22.7   21.0  -83.9 | 34.81    
2023-11-08 00:57:20.101 | -7.77   6.79  13.68 | -0.79   0.69   1.39 | -3250   2846   5771 |  -0.2   -2.1    0.3 |  -9.8 -120.2   19.9 |  -161  -1969    326 |  21.0   20.3  -85.5 | 34.82    
2023-11-08 00:57:20.139 |-14.61  10.45  18.33 | -1.49   1.07   1.87 | -6111   4380   7734 |  -1.1    0.1    0.2 | -61.6    4.2    8.9 | -1010     68    145 |  18.5   17.8  -86.0 | 34.78    
2023-11-08 00:57:20.178 |-20.88  13.55  18.91 | -2.13   1.38   1.93 | -8731   5676   7978 |  -1.4    3.4   -2.8 | -83.1  197.1 -159.3 | -1361   3229  -2610 |  18.8   23.9  -83.4 | 34.82    
2023-11-08 00:57:20.216 | -7.43  11.42  13.88 | -0.76   1.16   1.42 | -3106   4785   5856 |  -2.4    6.6   -6.6 |-137.9  379.9 -379.4 | -2259   6224  -6216 |  22.9   33.0  -76.7 | 34.81    
2023-11-08 00:57:20.252 |  2.10   5.16   6.52 |  0.21   0.53   0.66 |   880   2163   2750 |  -2.6    7.9   -8.9 |-148.0  453.1 -511.2 | -2425   7424  -8375 |  21.2   49.9  -63.0 | 34.80    
2023-11-08 00:57:20.289 | 13.40   3.91   6.47 |  1.37   0.40   0.66 |  5604   1640   2730 |  -2.1    6.2  -10.5 |-121.1  354.2 -602.4 | -1984   5803  -9870 |  14.9   61.2  -58.3 | 34.86    
2023-11-08 00:57:20.327 | 31.94  -0.62  -8.40 |  3.26  -0.06  -0.86 | 13355   -258  -3543 |  -3.8    4.8  -10.6 |-219.4  273.5 -606.8 | -3594   4481  -9941 |  -6.8   65.8  -47.4 | 34.85    
2023-11-08 00:57:20.366 | 36.78 -17.33 -16.04 |  3.75  -1.77  -1.64 | 15378  -7260  -6768 |   1.1    2.5   -1.7 |  62.5  141.0 -100.2 |  1024   2310  -1641 | -22.0   63.9  -41.3 | 34.82    
2023-11-08 00:57:20.403 | 29.10 -13.83  -4.74 |  2.97  -1.41  -0.48 | 12168  -5793  -1998 |   3.8   -0.9    6.9 | 219.2  -49.4  395.6 |  3592   -809   6482 | -15.6   60.4  -50.2 | 34.79    
2023-11-08 00:57:20.442 | 18.21  -9.17   0.21 |  1.86  -0.93   0.02 |  7614  -3841     89 |   2.2   -6.5    9.2 | 126.6 -373.1  527.3 |  2074  -6113   8640 |   0.0   59.0  -58.5 | 34.84    
2023-11-08 00:57:20.481 | 18.93   3.27   7.63 |  1.93   0.33   0.78 |  7915   1370   3218 |   3.3   -9.2    9.8 | 187.4 -526.4  562.6 |  3071  -8625   9217 |   6.3   53.6  -65.5 | 34.84    
2023-11-08 00:57:20.519 | -0.30   7.26  15.96 | -0.03   0.74   1.63 |  -125   3040   6731 |   3.8   -4.8    9.5 | 216.8 -275.0  546.8 |  3552  -4505   8959 |  10.2   38.9  -79.9 | 34.81    
2023-11-08 00:57:20.557 |-11.19  10.63  16.51 | -1.14   1.08   1.68 | -4680   4452   6963 |   1.3   -5.4    4.8 |  76.0 -311.2  272.6 |  1245  -5098   4466 |  13.2   26.2  -84.1 | 34.85    
2023-11-08 00:57:20.596 |-14.56   8.97  23.09 | -1.49   0.91   2.35 | -6090   3758   9739 |   0.7   -3.0    1.0 |  41.4 -171.4   58.7 |   678  -2809    961 |   5.9   20.3  -89.2 | 34.83    
2023-11-08 00:57:20.634 |-11.48   8.53  22.83 | -1.17   0.87   2.33 | -4799   3572   9630 |  -0.8    0.7   -0.7 | -43.3   37.5  -39.6 |  -709    614   -649 |   4.4   21.3  -89.7 | 34.80    
2023-11-08 00:57:20.672 |-13.96   9.31  20.70 | -1.42   0.95   2.11 | -5837   3900   8734 |  -2.2    3.1   -2.1 |-128.1  177.6 -122.7 | -2098   2910  -2011 |   5.4   25.2  -86.0 | 34.82    
2023-11-08 00:57:20.711 |-10.16   9.07  16.13 | -1.04   0.93   1.64 | -4250   3801   6803 |  -4.1    6.1   -4.9 |-235.4  346.9 -278.7 | -3857   5683  -4567 |  11.0   33.3  -80.2 | 34.77    
2023-11-08 00:57:20.749 |  2.42   8.25   8.76 |  0.25   0.84   0.89 |  1011   3456   3697 |  -4.3    8.2   -7.1 |-245.4  467.2 -406.4 | -4020   7655  -6659 |  14.6   48.2  -69.2 | 34.82    
2023-11-08 00:57:20.787 | 13.93   5.37   4.75 |  1.42   0.55   0.48 |  5823   2249   2003 |  -3.3    8.0   -8.8 |-186.2  458.4 -505.7 | -3051   7511  -8285 |   7.6   60.7  -56.0 | 34.80    
2023-11-08 00:57:20.825 | 32.04   0.34 -10.83 |  3.27   0.04  -1.10 | 13396    144  -4568 |  -3.5    7.3   -9.1 |-202.6  417.4 -520.0 | -3319   6839  -8519 |  -6.1   66.1  -47.1 | 34.82    
2023-11-08 00:57:20.864 | 31.30 -16.87 -12.52 |  3.19  -1.72  -1.28 | 13088  -7067  -5281 |   1.9    3.6   -0.8 | 108.8  204.7  -47.1 |  1782   3353   -771 | -15.9   65.1  -45.7 | 34.76    
2023-11-08 00:57:20.902 | 23.53 -16.10  -4.00 |  2.40  -1.64  -0.41 |  9838  -6746  -1689 |   1.6   -2.0    4.2 |  93.4 -111.9  239.6 |  1530  -1834   3926 | -11.0   63.6  -51.3 | 34.82    
2023-11-08 00:57:20.940 | 22.07 -10.53  -3.31 |  2.25  -1.07  -0.34 |  9228  -4413  -1397 |   0.7   -7.1    6.3 |  42.8 -407.5  359.8 |   702  -6676   5895 |  -3.7   64.6  -55.1 | 34.81    
2023-11-08 00:57:20.978 | 25.35   4.22   3.31 |  2.58   0.43   0.34 | 10600   1766   1397 |   5.2  -10.8   10.4 | 296.5 -618.0  595.6 |  4858 -10126   9758 |   2.9   57.5  -64.1 | 34.80    
2023-11-08 00:57:21.016 |  4.23   9.98  18.15 |  0.43   1.02   1.85 |  1767   4181   7657 |   6.7   -9.2   11.3 | 383.9 -525.0  647.2 |  6289  -8602  10604 |   7.3   39.9  -79.5 | 34.85    
2023-11-08 00:57:21.053 |-20.54  14.66  25.16 | -2.09   1.50   2.57 | -8588   6143  10613 |   1.4   -5.6    5.2 |  81.1 -320.9  298.0 |  1329  -5258   4883 |   6.8   23.2  -85.5 | 34.87    
2023-11-08 00:57:21.092 | -8.81   7.83  18.67 | -0.90   0.80   1.90 | -3684   3282   7875 |   0.2   -2.1   -0.6 |  13.3 -120.8  -35.5 |   218  -1980   -581 |  -1.7   23.5  -88.1 | 34.79    
2023-11-08 00:57:21.130 | -6.29   6.28  21.17 | -0.64   0.64   2.16 | -2630   2632   8931 |   0.3   -0.6   -0.4 |  15.6  -34.1  -23.9 |   255   -558   -392 |  -3.2   18.6  -90.9 | 34.80    
2023-11-08 00:57:21.168 |-14.61   8.83  26.92 | -1.49   0.90   2.74 | -6110   3701  11355 |  -2.4    2.3   -1.6 |-137.8  131.1  -89.0 | -2257   2148  -1458 |  -2.7   24.4  -88.5 | 34.80    
2023-11-08 00:57:21.207 | -8.10   7.47  21.95 | -0.83   0.76   2.24 | -3386   3128   9259 |  -4.1    7.3   -4.4 |-233.3  416.9 -250.7 | -3822   6830  -4107 |   2.9   34.5  -82.3 | 34.79    
2023-11-08 00:57:21.244 |  2.86   6.01  10.00 |  0.29   0.61   1.02 |  1196   2519   4220 |  -4.5    9.2   -6.4 |-255.7  527.4 -368.2 | -4190   8641  -6032 |   9.5   43.5  -73.2 | 34.83    
2023-11-08 00:57:21.282 | 10.96   6.54   5.82 |  1.12   0.67   0.59 |  4581   2738   2455 |  -4.1    7.6   -8.3 |-235.1  437.0 -478.2 | -3852   7159  -7835 |  10.7   59.0  -63.2 | 34.80    
2023-11-08 00:57:21.320 | 26.60   4.85   0.26 |  2.71   0.49   0.03 | 11123   2031    110 |  -5.2    7.3   -8.8 |-297.9  420.8 -505.7 | -4880   6894  -8285 |  -2.2   67.1  -49.5 | 34.84    
2023-11-08 00:57:21.359 | 28.29  -9.25 -19.32 |  2.88  -0.94  -1.97 | 11830  -3875  -8152 |  -3.2    5.7   -4.3 |-181.6  328.6 -248.1 | -2975   5383  -4065 | -17.3   66.1  -35.1 | 34.80    
2023-11-08 00:57:21.397 | 23.33 -12.27 -10.39 |  2.38  -1.25  -1.06 |  9754  -5141  -4382 |   1.3    1.1    1.0 |  76.2   60.2   55.8 |  1248    987    914 | -20.5   66.8  -36.2 | 34.77    
2023-11-08 00:57:21.435 | 26.35 -12.81  -8.16 |  2.69  -1.31  -0.83 | 11017  -5365  -3442 |   1.4   -2.0    3.1 |  77.9 -114.2  177.1 |  1277  -1871   2901 | -17.3   66.6  -41.1 | 34.80    
2023-11-08 00:57:21.473 | 19.65  -8.11  -1.12 |  2.00  -0.83  -0.11 |  8217  -3398   -471 |   3.6   -7.9    9.1 | 206.2 -455.3  521.4 |  3378  -7459   8543 |  -6.8   65.3  -45.1 | 34.83    
2023-11-08 00:57:21.511 | 13.76  10.09  12.93 |  1.40   1.03   1.32 |  5754   4228   5453 |   4.0  -12.1    7.4 | 228.8 -695.6  421.8 |  3749 -11397   6910 |   2.9   60.4  -57.6 | 34.77    
2023-11-08 00:57:21.549 |-10.07   5.42  23.92 | -1.03   0.55   2.44 | -4212   2270  10090 |   3.4   -2.6    7.5 | 194.3 -147.9  431.6 |  3183  -2423   7071 |  11.7   47.2  -69.2 | 34.77    
2023-11-08 00:57:21.588 |-25.64   8.62  23.80 | -2.61   0.88   2.43 |-10720   3612  10041 |   0.4    0.8    1.3 |  22.5   46.6   72.8 |   369    763   1192 |  16.3   37.2  -72.7 | 34.82    
2023-11-08 00:57:21.626 |-12.04  -3.12  19.00 | -1.23  -0.32   1.94 | -5033  -1308   8017 |  -1.4    3.6   -2.4 | -82.0  206.1 -136.8 | -1343   3376  -2241 |  18.3   40.6  -70.9 | 34.80    
2023-11-08 00:57:21.665 | -5.65  -5.57  11.88 | -0.58  -0.57   1.21 | -2361  -2332   5012 |  -5.5    4.3   -2.8 |-314.9  248.4 -161.3 | -5160   4069  -2643 |  22.9   50.2  -60.4 | 34.85    
2023-11-08 00:57:21.703 | -1.29  -0.10   2.64 | -0.13  -0.01   0.27 |  -541    -40   1113 |  -8.0    5.3   -2.7 |-459.8  302.4 -153.2 | -7533   4955  -2510 |  24.1   62.2  -38.3 | 34.80    
2023-11-08 00:57:21.741 |  2.81   8.97  -9.60 |  0.29   0.92  -0.98 |  1175   3760  -4051 |  -8.6    5.5   -3.2 |-490.6  316.0 -186.0 | -8038   5178  -3047 |  16.6   64.8  -12.5 | 34.82    
2023-11-08 00:57:21.780 | 11.01   5.03 -28.89 |  1.12   0.51  -2.95 |  4605   2106 -12189 |  -3.5    4.1   -2.3 |-202.7  233.9 -133.9 | -3321   3832  -2193 |   5.1   59.2    5.9 | 34.81    
2023-11-08 00:57:21.818 |  7.89   0.20 -24.72 |  0.80   0.02  -2.52 |  3300     84 -10427 |   3.8    1.5   -0.2 | 216.4   83.4  -10.7 |  3546   1366   -176 |   0.2   61.7    7.7 | 34.80    
2023-11-08 00:57:21.857 |  7.21   0.85 -15.87 |  0.74   0.09  -1.62 |  3016    358  -6695 |   6.2    0.1    1.0 | 355.7    5.9   59.2 |  5827     97    970 |  -3.4   64.4   -5.5 | 34.74    
2023-11-08 00:57:21.894 | 10.27   0.21 -14.19 |  1.05   0.02  -1.45 |  4294     89  -5987 |   8.7   -3.2    1.2 | 498.2 -183.0   70.4 |  8162  -2998   1154 |  -0.2   68.0  -26.2 | 34.79    
2023-11-08 00:57:21.932 | 11.99   6.72   0.83 |  1.22   0.68   0.08 |  5012   2814    349 |  12.0   -6.0    2.3 | 687.0 -343.3  133.4 | 11255  -5625   2185 |  -0.7   61.7  -56.9 | 34.80    
2023-11-08 00:57:21.970 |  3.71  13.45  16.61 |  0.38   1.37   1.69 |  1552   5633   7005 |  14.6   -3.4    4.6 | 834.6 -194.8  261.2 | 13674  -3192   4279 |  -5.6   35.2  -84.8 | 34.81    
2023-11-08 00:57:22.008 | -5.90   4.61  30.33 | -0.60   0.47   3.09 | -2466   1931  12794 |   8.0   -3.3    2.0 | 455.8 -186.6  116.6 |  7468  -3058   1910 |  -7.3   11.5  -93.9 | 34.79    
2023-11-08 00:57:22.047 | -2.92   3.52  30.04 | -0.30   0.36   3.06 | -1220   1476  12674 |   2.3   -1.7   -0.1 | 129.6  -96.8   -4.6 |  2124  -1586    -75 | -18.8   -4.9  -98.3 | 34.77    
2023-11-08 00:57:22.085 | -0.56   3.46  27.85 | -0.06   0.35   2.84 |  -236   1451  11747 |  -1.9    0.4   -0.9 |-108.7   24.2  -53.3 | -1781    397   -873 | -25.1   -9.4  -96.0 | 34.83    
2023-11-08 00:57:22.124 | -2.61   0.43  27.08 | -0.27   0.04   2.76 | -1091    180  11425 |  -5.4    2.6   -1.4 |-312.3  149.2  -82.9 | -5116   2444  -1359 | -15.9    0.4  -94.6 | 34.77    
2023-11-08 00:57:22.162 |  3.99   0.36  25.01 |  0.41   0.04   2.55 |  1667    150  10551 | -10.6    4.1   -2.0 |-606.3  235.7 -115.4 | -9933   3862  -1891 |  -3.9   23.7  -89.7 | 34.80    
2023-11-08 00:57:22.200 | 11.19  10.44   8.51 |  1.14   1.06   0.87 |  4680   4372   3591 | -13.9    3.8    0.1 |-798.6  219.8    4.6 |-13085   3601     76 |   6.1   55.3  -66.7 | 34.79    
2023-11-08 00:57:22.239 |  2.79  13.55  -3.03 |  0.28   1.38  -0.31 |  1168   5677  -1277 | -12.4    2.3   -0.2 |-709.0  129.6  -10.3 |-11617   2124   -169 |  10.7   67.3  -39.0 | 34.77    
